,City,Date,PM2.5,PM10,NO2,CO,SO2,O3,AQI,Category
0,Ahmedabad,2015-01-29,83.13,107.96,28.71,2.88,31.689999999999998,59.76,176.10344827586206,Moderate
1,Ahmedabad,2015-01-02,58.37,107.96,15.69,0.97,24.55,34.06,105.6510067114094,Moderate
2,Ahmedabad,2015-01-03,58.37,107.96,19.3,2.88,29.07,30.7,112.27848101265823,Moderate
3,Ahmedabad,2015-01-04,58.37,107.96,18.48,1.7,18.59,36.08,105.6510067114094,Moderate
4,Ahmedabad,2015-01-05,58.37,107.96,21.42,2.88,31.689999999999998,39.31,112.27848101265823,Moderate
5,Ahmedabad,2015-01-06,58.37,107.96,38.48,2.88,31.689999999999998,46.51,112.27848101265823,Moderate
6,Ahmedabad,2015-01-07,58.37,107.96,40.62,2.88,31.689999999999998,33.47,112.27848101265823,Moderate
7,Ahmedabad,2015-01-08,58.37,107.96,36.74,2.88,31.689999999999998,31.89,112.27848101265823,Moderate
8,Ahmedabad,2015-01-09,58.37,107.96,31.0,2.88,31.689999999999998,25.75,112.27848101265823,Moderate
9,Ahmedabad,2015-01-10,58.37,107.96,7.04,2.88,8.29,4.55,112.27848101265823,Moderate
10,Ahmedabad,2015-01-11,58.37,107.96,55.8,2.88,25.03,6.79,112.27848101265823,Moderate
11,Ahmedabad,2015-01-12,58.37,107.96,40.67,2.88,31.689999999999998,45.89,112.27848101265823,Moderate
12,Ahmedabad,2015-01-13,58.37,107.96,44.2,2.88,31.689999999999998,35.16,112.27848101265823,Moderate
13,Ahmedabad,2015-01-14,58.37,107.96,27.86,2.88,31.689999999999998,20.96,112.27848101265823,Moderate
14,Ahmedabad,2015-01-15,58.37,107.96,16.96,0.6,28.89,47.63,105.6510067114094,Moderate
15,Ahmedabad,2015-01-16,58.37,107.96,21.72,1.63,31.689999999999998,46.03,105.6510067114094,Moderate
16,Ahmedabad,2015-01-17,58.37,107.96,24.73,2.88,31.689999999999998,52.24,112.27848101265823,Moderate
17,Ahmedabad,2015-01-18,58.37,107.96,25.77,2.88,31.689999999999998,53.49,112.27848101265823,Moderate
18,Ahmedabad,2015-01-19,58.37,107.96,26.88,2.51,31.689999999999998,49.48,112.27848101265823,Moderate
19,Ahmedabad,2015-01-20,58.37,107.96,26.8,2.88,31.689999999999998,56.37,112.27848101265823,Moderate
20,Ahmedabad,2015-01-21,58.37,107.96,33.56,2.88,31.689999999999998,48.75,112.27848101265823,Moderate
21,Ahmedabad,2015-01-22,58.37,107.96,17.51,2.88,23.71,42.22,112.27848101265823,Moderate
22,Ahmedabad,2015-01-23,58.37,107.96,27.96,2.88,31.689999999999998,32.92,112.27848101265823,Moderate
23,Ahmedabad,2015-01-24,58.37,107.96,20.39,2.03,31.689999999999998,32.49,105.6510067114094,Moderate
24,Ahmedabad,2015-01-25,58.37,107.96,20.43,1.42,31.689999999999998,39.26,105.6510067114094,Moderate
25,Ahmedabad,2015-01-26,58.37,107.96,21.16,2.27,31.689999999999998,39.83,105.6510067114094,Moderate
26,Ahmedabad,2015-01-27,58.37,107.96,21.7,2.19,31.689999999999998,41.1,105.6510067114094,Moderate
27,Ahmedabad,2015-01-28,73.24,107.96,21.11,2.88,31.689999999999998,62.42,141.9655172413793,Moderate
